Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
positive regulation of autophagy	GOTERM_BP_DIRECT	10	3.3783783783783785	7.788637014857442e-06	GSK3A, TBK1, PLK2, ZC3H12A, TRIM14, PIM2, HMGB1, TRIM21, TRIM65, MTDH	294	89	19462	7.437896506917374	0.0223567996269278	0.0003097316884127556	0.0002871126329723476
negative regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	35	11.824324324324325	1.0951276605414206e-05	PSMD10, RB1, URI1, CEBPB, KDM1A, HDAC1, MAZ, HMGB2, FOXK2, FOXK1, HMGB1, ENO1, NOC2L, YBX3, BACH1, MTDH, E2F1, SFN, MAGEA3, TP63, SREBF1, PLK3, TGFB1, SMAD3, PARP1, STAT1, PCGF2, STAT3, PAWR, YWHAZ, SNW1, DDIT3, TRIB3, PTPN2, HSPA1A	294	1015	19462	2.2826647900539525	0.0312916861122012	0.0004241726833915715	0.0003931962421655939
inflammatory response	GOTERM_BP_DIRECT	21	7.094594594594595	1.0958646660133607e-05	GSDMD, CEBPB, TGFB1, RIPK2, STAT3, PIK3CD, TNFAIP3, HMGB1, MIF, PTGS2, LIPA, POLB, PYCARD, IL1A, TBK1, IL1B, ZC3H12A, CD14, S100A9, CD44, EPHA2	294	436	19462	3.1884010484927914	0.0313124118922295	0.0004241726833915715	0.0003931962421655939
negative regulation of NF-kappaB transcription factor activity	GOTERM_BP_DIRECT	10	3.3783783783783785	1.2206369050212991e-05	PSMD10, PYCARD, NFKBIA, SIVA1, DDIT3, ZC3H12A, BCL3, TNFAIP3, RBCK1, TRIM21	294	94	19462	7.042263713996237	0.0348148257346609	0.0004662511756943199	0.0004322018304489889
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GOTERM_BP_DIRECT	6	2.027027027027027	1.2480448105684892e-05	PLK3, CHEK2, PLK2, CASP2, TRIAP1, PML	294	21	19462	18.913508260447035	0.0355824808064163	0.00047052910195848367	0.0004361673487324421
cellular response to virus	GOTERM_BP_DIRECT	10	3.3783783783783785	1.3308134410236315e-05	ARF1, HSP90AA1, TGFB1, SMAD3, IFNGR1, IFNGR2, ZC3H12A, BAX, HIF1A, IKBKE	294	95	19462	6.968134622269961	0.0378970056037123	0.0004953014640117438	0.00045913063715315286
cellular protein localization	GOTERM_BP_DIRECT	9	3.040540540540541	1.3809199832981394e-05	YWHAE, RRAGC, YWHAQ, YWHAB, SFN, LAMTOR1, YWHAZ, YWHAG, YWHAH	294	73	19462	8.161308358960023	0.0392954754223705	0.0005074443938625948	0.0004703867943107966
double-strand break repair	GOTERM_BP_DIRECT	9	3.040540540540541	1.6887154208664995e-05	MSH2, PARP1, PARP2, PRKDC, CHEK2, CIB1, BRCA1, NBN, BRCA2	294	75	19462	7.943673469387755	0.0478415534665834	0.000612792608346931	0.0005680416496939688
positive regulation of protein kinase B signaling	GOTERM_BP_DIRECT	13	4.391891891891892	2.4984368534242484e-05	TGFB2, HSP90AA1, TGFB1, HIP1, GPX1, MAZ, PIK3CD, TREM2, STK3, MTDH, NEDD4, MET, NKX3-1	294	185	19462	4.651700680272109	0.0699626458822654	0.0008954274303074806	0.0008300362435265003
negative regulation of gene expression	GOTERM_BP_DIRECT	17	5.743243243243244	2.905131428994094e-05	RB1, TGFB2, DAXX, TGFB1, SMAD3, HDAC1, STAT3, HMGB2, PAWR, MIF, HIF1A, TBK1, PDCD10, ZC3H12A, BAK1, HRAS, NKX3-1	294	319	19462	3.5277546755379268	0.0808787150747127	0.001028487382728	0.0009533791067589156
positive regulation of interleukin-6 production	GOTERM_BP_DIRECT	10	3.3783783783783785	2.9855610670105827e-05	PYCARD, IL1A, TGFB1, TYROBP, SYK, RIPK2, IL1B, STAT3, BCL10, HMGB1	294	105	19462	6.304502753482346	0.0830223056445077	0.0010442269611484	0.0009679692567862022
negative regulation of autophagy	GOTERM_BP_DIRECT	8	2.702702702702702	4.389660618950795e-05	RRAGC, STAT3, FOXK2, TREM2, FOXK1, MET, MAGEA3, EIF4G1	294	63	19462	8.406003671309794	0.1196490505008084	0.0015170458067635	0.0014062591339995
positive regulation of angiogenesis	GOTERM_BP_DIRECT	12	4.054054054054054	4.467349219563177e-05	IL1A, PDCD6, IL1B, ZC3H12A, STAT3, SERPINE1, HSPB1, PIK3CD, BRCA1, PLCG1, HIF1A, MTDH	294	166	19462	4.785345463486599	0.1216323565787602	0.0015257311511049	0.001414310205864
cell cycle	GOTERM_BP_DIRECT	18	6.081081081081082	4.9665868894686114e-05	RB1, CDKN2D, PRNP, RALB, DDIAS, SIAH2, SIAH1, CLTA, BRCA1, PPP1CA, DDIT3, PSME3, E2F2, PIM2, LZTS1, TRIM21, TP63, TP73	294	370	19462	3.220408163265306	0.1342712125483866	0.001662039004552	0.0015406637827246
male gonad development	GOTERM_BP_DIRECT	10	3.3783783783783785	4.980964291974888e-05	TFPT, TGFB2, BCL2L11, MSH2, BIK, TNFSF10, HMGB2, INHBA, YBX3, NKX3-1	294	112	19462	5.9104713313897	0.1346324895320988	0.001662039004552	0.0015406637827246
cellular response to unfolded protein	GOTERM_BP_DIRECT	6	2.027027027027027	5.529073567413344e-05	PTPN1, DAXX, BAX, BAK1, HSPA1B, HSPA1A	294	28	19462	14.185131195335275	0.1482936261266907	0.0017995666607087	0.0016681480826618
negative regulation of intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	5.529073567413344e-05	URI1, HDAC1, RTKN2, PLAUR, NOC2L, MMP9	294	28	19462	14.185131195335275	0.1482936261266907	0.0017995666607087	0.0016681480826618
intracellular protein transport	GOTERM_BP_DIRECT	17	5.743243243243244	5.579090577464295e-05	CTSA, BCAP31, ARF1, SNAPIN, PDCD6, CLTA, VPS26A, TIMM50, AP3M2, AP4M1, CTTN, CDK5, BLOC1S2, AP1S1, SNX5, AP1M1, YWHAH	294	337	19462	3.3393286097821924	0.1495294697066328	0.0017995666607087	0.0016681480826618
positive regulation of cell migration	GOTERM_BP_DIRECT	15	5.067567567567568	5.7023460016420985e-05	LYN, TGFB1, SMAD3, CSF2, MAZ, STAT3, PIK3CD, CIB1, SOD2, MMP9, PDCD10, IL1B, ITGAV, HRAS, EPHA2	294	267	19462	3.718948253458687	0.152567275850957	0.0018191110376667	0.0016862651747713
DNA repair	GOTERM_BP_DIRECT	16	5.405405405405405	5.780077798401339e-05	PARP1, USP10, PARP2, NONO, BRCA1, HMGB1, BRCA2, BACH1, ZMPSTE24, MSH6, POLB, TFPT, MSH2, FANCD2, RPS3, OTUB1	294	302	19462	3.507140604586205	0.1544775071946926	0.0018238658531259	0.0016906727560323
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	GOTERM_BP_DIRECT	5	1.6891891891891893	6.026815414190712e-05	CDKN2D, TMEM161A, DDIAS, ACKR3, BID	294	15	19462	22.06575963718821	0.1605125264494167	0.0018812736717629	0.0017438882021061
negative regulation of protein kinase activity	GOTERM_BP_DIRECT	8	2.702702702702702	7.21427391969892e-05	RB1, GSTP1, HSPB1, TRIB3, SFN, PPIA, PAK2, YWHAG	294	68	19462	7.787915166066426	0.1889600181952219	0.0022279826796687	0.002065277778501
positive regulation of cytokine production	GOTERM_BP_DIRECT	8	2.702702702702702	8.69532550415326e-05	IL1A, IL1B, S100A13, EIF2AK2, PIK3CD, CD14, MIF, GAPDH	294	70	19462	7.5654033041788145	0.2230942801277613	0.0026571084145849	0.002463065361229
positive regulation of vascular endothelial growth factor production	GOTERM_BP_DIRECT	6	2.027027027027027	9.21222323856556e-05	IL1A, TGFB1, IL1B, BRCA1, PTGS2, HIF1A	294	31	19462	12.812376563528638	0.2346661686827116	0.0027857379230787	0.0025823013265604
innate immune response	GOTERM_BP_DIRECT	24	8.108108108108109	9.95396166475355e-05	LYN, GSDMD, SYK, PARP1, PRKDC, RIPK2, NONO, HMGB2, EIF2AK2, PIK3CD, TRAF2, HMGB1, BCL10, MIF, PML, PYCARD, TBK1, LCK, NEDD4, TRIM14, CD14, FADD, S100A9, TRIM21	294	635	19462	2.5019443998071664	0.2509712335601135	0.0029790052281216	0.0027614547257579
regulation of transcription involved in G1/S transition of mitotic cell cycle	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0001026137953179896	TFDP1, CDK5, E2F1, E2F2, BACH1	294	17	19462	19.46978791516607	0.2576267519352644	0.003008968159678	0.0027892295272798
DNA damage response, signal transduction by p53 class mediator	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0001026137953179896	USP10, BCL3, MIF, NBN, TRIAP1	294	17	19462	19.46978791516607	0.2576267519352644	0.003008968159678	0.0027892295272798
positive regulation of NIK/NF-kappaB signaling	GOTERM_BP_DIRECT	8	2.702702702702702	0.0001041516376520245	PYCARD, IL1B, RTKN2, RPS3, EIF2AK2, TREM2, CD14, RBCK1	294	72	19462	7.355253212396069	0.2609339248311059	0.0030235220410382	0.0028027205692159
lysosome localization	GOTERM_BP_DIRECT	6	2.027027027027027	0.00010784654488839456	SNAPIN, BLOC1S2, RAB34, MYH9, KXD1, LAMTOR1	294	32	19462	12.411989795918366	0.2688198477166174	0.0030997873248614	0.0028734163593531
TRAIL-activated apoptotic signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.00011303441897696616	CASP8, TNFRSF10B, TNFRSF10A, FADD	294	7	19462	37.82701652089407	0.2797504034595389	0.0032170482185307	0.0029821139359511
positive regulation of JNK cascade	GOTERM_BP_DIRECT	9	3.040540540540541	0.0001255313263041285	PYCARD, IL1A, RIPK2, IL1B, TRAF2, LTBR, HMGB1, HRAS, STK3	294	99	19462	6.017934446505874	0.305414708975392	0.0035134517879434	0.0032568717744938
positive regulation of TORC1 signaling	GOTERM_BP_DIRECT	7	2.364864864864865	0.0001258694405601497	TBK1, SYK, RRAGC, RHEB, LAMTOR1, GPR137B, OTUB1	294	52	19462	8.91117216117216	0.3060962273125558	0.0035134517879434	0.0032568717744938
regulation of mitophagy	GOTERM_BP_DIRECT	5	1.6891891891891893	0.00013037391776698305	SREBF1, GSK3A, CTTN, HTRA2, DNM1L	294	18	19462	18.388133030990176	0.3151121365324257	0.0035705234271467	0.0033097755916127
apoptotic mitochondrial changes	GOTERM_BP_DIRECT	5	1.6891891891891893	0.00013037391776698305	BIK, BAX, PIM2, GCLM, BID	294	18	19462	18.388133030990176	0.3151121365324257	0.0035705234271467	0.0033097755916127
angiogenesis	GOTERM_BP_DIRECT	14	4.72972972972973	0.00013859718750924843	TNFRSF12A, SYK, PDCD6, SERPINE1, CIB1, PTGS2, YWHAZ, HIF1A, CASP8, PDCD10, ZC3H12A, ACKR3, MYH9, ITGAV	294	255	19462	3.634360410830999	0.3312704228243731	0.0037602582741995	0.0034856545008167
autophagy	GOTERM_BP_DIRECT	11	3.716216216216216	0.00014455228636658246	USP13, USP10, PHF23, UBQLN1, CHMP4B, HMGB1, S100A9, GPR137B, RAB8A, CHMP5, UBQLN2	294	158	19462	4.608671316627917	0.3427334400445518	0.0038026274099281	0.0035249295074462
negative regulation of apoptotic signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	0.00014539843007303497	RB1, PCGF2, MAZ, BAX, MAPK8IP2, AATF	294	34	19462	11.68187274909964	0.344346172437257	0.0038026274099281	0.0035249295074462
negative regulation of inflammatory response to antigenic stimulus	GOTERM_BP_DIRECT	6	2.027027027027027	0.00014539843007303497	LYN, GPX1, SYK, PLK2, TREM2, PLCG1	294	34	19462	11.68187274909964	0.344346172437257	0.0038026274099281	0.0035249295074462
positive regulation of type I interferon production	GOTERM_BP_DIRECT	6	2.027027027027027	0.00014539843007303497	TBK1, SYK, IRF1, CD14, GAPDH, IKBKE	294	34	19462	11.68187274909964	0.344346172437257	0.0038026274099281	0.0035249295074462
cytokine-mediated signaling pathway	GOTERM_BP_DIRECT	11	3.716216216216216	0.00016026735264955503	IL1A, IFNGR1, STAT1, RIPK2, IL1B, IFNGR2, STAT2, STAT3, INHBA, IL13RA2, CD44	294	160	19462	4.551062925170068	0.3720491697812208	0.0041540725423362	0.0038507093391067
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0001631909396992447	PTPN1, OPA1, TXNDC12, MAGEA3, HSPA1A	294	19	19462	17.420336555674904	0.3773569995709442	0.0041556429644465	0.0038521650765848
negative regulation of B cell proliferation	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0001631909396992447	LYN, TYROBP, CD300A, CASP3, PAWR	294	19	19462	17.420336555674904	0.3773569995709442	0.0041556429644465	0.0038521650765848
negative regulation of cell cycle	GOTERM_BP_DIRECT	7	2.364864864864865	0.00017259404828367435	RB1, TGFB1, CDK5, CASP3, HTRA2, BRCA1, PTGS2	294	55	19462	8.425108225108225	0.3941263211893147	0.0043568741058044	0.0040387007298379
activation of innate immune response	GOTERM_BP_DIRECT	6	2.027027027027027	0.0001922079561201524	PYCARD, HSP90AA1, TBK1, PRKDC, NONO, HMGB1	294	36	19462	11.032879818594104	0.4276664496406568	0.0048101697984207	0.0044588931889597
positive regulation of ERK1 and ERK2 cascade	GOTERM_BP_DIRECT	13	4.391891891891892	0.00020030557982279656	TGFB1, RIPK2, TREM2, CIB1, INHBA, HMGB1, MIF, ICAM1, PYCARD, IL1A, ACKR3, HRAS, CD44	294	230	19462	3.741585329784088	0.4409662005702079	0.0049592564411183	0.0045970923468995
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	5	1.6891891891891893	0.00020158190149912537	GPX1, HSPB1, HTRA2, SOD2, PPIA	294	20	19462	16.54931972789116	0.4430340934885463	0.0049592564411183	0.0045970923468995
positive regulation of protein ubiquitination	GOTERM_BP_DIRECT	8	2.702702702702702	0.0002191242929754191	PSMD10, GSK3A, KDM1A, RIPK2, PHF23, UBQLN1, BRCA1, BCL10	294	81	19462	6.538002855463172	0.4706934509339646	0.0052236626412558	0.0048421895169202
protein kinase B signaling	GOTERM_BP_DIRECT	8	2.702702702702702	0.0002191242929754191	PLK3, TGFB1, IL1B, STAT3, PIK3CD, EPHA2, STK3, NKX3-1	294	81	19462	6.538002855463172	0.4706934509339646	0.0052236626412558	0.0048421895169202
determination of adult lifespan	GOTERM_BP_DIRECT	6	2.027027027027027	0.00021952698664595816	MSH6, MSH2, LIPA, TP63, BBC3, ZMPSTE24	294	37	19462	10.73469387755102	0.4713119947777595	0.0052236626412558	0.0048421895169202
negative regulation of extrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	0.00021952698664595816	CTTN, PSME3, GSTP1, SIAH2, ITGAV, GCLM	294	37	19462	10.73469387755102	0.4713119947777595	0.0052236626412558	0.0048421895169202
negative regulation of release of cytochrome c from mitochondria	GOTERM_BP_DIRECT	5	1.6891891891891893	0.00024607636112860263	PSMD10, GPX1, OPA1, BAK1, TRIAP1	294	21	19462	15.761256883705864	0.5105375761418716	0.0058078022467994	0.0053836706324965
defense response to virus	GOTERM_BP_DIRECT	13	4.391891891891892	0.00025511414240177274	IFNGR1, STAT1, IFNGR2, STAT2, EIF2AK2, PYCARD, TBK1, IRF1, ZC3H12A, CASP1, PMAIP1, FADD, IKBKE	294	236	19462	3.646460279026865	0.5232155799164874	0.005972551253164	0.0055363883645416
negative regulation of endoplasmic reticulum calcium ion concentration	GOTERM_BP_DIRECT	4	1.351351351351351	0.00026527138585423883	BCAP31, BAX, BAK1, BBC3	294	9	19462	29.42101284958428	0.5370725773282338	0.0061606626650788	0.00571076239467
execution phase of apoptosis	GOTERM_BP_DIRECT	5	1.6891891891891893	0.00029721489339851247	CASP8, CASP3, CASP2, HTRA2, BBC3	294	22	19462	15.044836116264689	0.5780814873835738	0.0068477367899673	0.0063476609375825
positive regulation of inflammatory response	GOTERM_BP_DIRECT	9	3.040540540540541	0.00033239769795315416	GSDMD, PYCARD, NFKBIA, CEBPB, TGFB1, IL1B, SERPINE1, CASP1, S100A9	294	114	19462	5.22610096670247	0.6190590590004257	0.0075980355681732	0.0070431669700152
negative regulation of necroptotic process	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0003555476546416772	CASP8, CASP2, FADD, RBCK1, YBX3	294	23	19462	14.390712806861876	0.6438268803023242	0.0080637096986311	0.0074748338956308
regulation of catalytic activity	GOTERM_BP_DIRECT	6	2.027027027027027	0.0004029176282952886	PARP1, CAPN1, LAMTOR1, SOD2, HIF1A, CTSB	294	42	19462	9.456754130223516	0.6896037520580315	0.0090672083328776	0.0084050491297877
cellular response to organic substance	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0004216330105963873	RIPK2, IL1B, STAT2, STAT3, CASP1	294	24	19462	13.791099773242632	0.7060244686628858	0.0094153894597024	0.0087278033193452
positive regulation of interferon-beta production	GOTERM_BP_DIRECT	6	2.027027027027027	0.00045037804589648966	HSP90AA1, TBK1, RIPK2, IRF1, HMGB2, TRIM65	294	43	19462	9.236829615567157	0.729569995744614	0.0099049050548296	0.0091815706174807
positive regulation of interleukin-10 production	GOTERM_BP_DIRECT	6	2.027027027027027	0.00045037804589648966	PYCARD, SYK, STAT3, BCL3, TREM2, HMGB1	294	43	19462	9.236829615567157	0.729569995744614	0.0099049050548296	0.0091815706174807
in utero embryonic development	GOTERM_BP_DIRECT	12	4.054054054054054	0.0004906520530867584	GNA13, POLB, BCL2L11, SMAD3, MSH2, PCGF2, GNA12, NMT1, MYH9, KEAP1, PLCG1, YBX3	294	218	19462	3.64388691256319	0.759422370502421	0.0106622599773179	0.0098836174987814
peptidyl-serine phosphorylation	GOTERM_BP_DIRECT	11	3.716216216216216	0.0004921608119051334	TBK1, DYRK2, SYK, CDK5, PRKDC, CHEK2, PLK2, STK4, PAK2, IKBKE, CDK5R1	294	184	19462	3.957446021887016	0.7604742944860288	0.0106622599773179	0.0098836174987814
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	GOTERM_BP_DIRECT	4	1.351351351351351	0.0005095393341562035	PEA15, PMAIP1, STK4, STK3	294	11	19462	24.071737786023498	0.7722643308784627	0.0108764168165842	0.0100821349133407
thymocyte apoptotic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.0005095393341562035	BCL2L11, CHEK2, BAX, BAK1	294	11	19462	24.071737786023498	0.7722643308784627	0.0108764168165842	0.0100821349133407
response to hydrogen peroxide	GOTERM_BP_DIRECT	6	2.027027027027027	0.0005577963593594473	GPX1, PDCD10, STAT1, CASP3, BAK1, SOD2	294	45	19462	8.826303854875283	0.8020487744549705	0.0118195827096385	0.0109564233798268
B cell homeostasis	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0005793282108787339	LYN, BCL2L11, CASP3, BAX, BAK1	294	26	19462	12.73024594453166	0.8140499404841852	0.0120127842584354	0.011135515824819
decidualization	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0005793282108787339	PARP1, PARP2, PTGS2, DEDD, CTSB	294	26	19462	12.73024594453166	0.8140499404841852	0.0120127842584354	0.011135515824819
protein refolding	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0005793282108787339	DNAJA1, HSP90AA1, HSPB1, HSPA1B, HSPA1A	294	26	19462	12.73024594453166	0.8140499404841852	0.0120127842584354	0.011135515824819
hemopoiesis	GOTERM_BP_DIRECT	7	2.364864864864865	0.0005986841771340035	TGFB2, SGPL1, MELK, LCK, RTKN2, BRCA2, SOD2	294	69	19462	6.715665976535542	0.8242162310121857	0.0123261004696454	0.0114259512104085
proteolysis	GOTERM_BP_DIRECT	18	6.081081081081082	0.0006139428005782094	CTSA, MMP1, USP21, CTSZ, HTRA2, MMP9, SENP1, ZMPSTE24, CASP8, CAPNS1, CTSL, CASP3, CTSK, CASP1, TPP1, CAPN1, CTSC, CTSB	294	458	19462	2.6016397825505746	0.8318372942839993	0.0125057572113372	0.0115924879971438
cellular response to beta-amyloid	GOTERM_BP_DIRECT	6	2.027027027027027	0.0006182034842828341	PRNP, BCL2L11, CDK5, PARP1, TREM2, ICAM1	294	46	19462	8.634427684117124	0.833905715244437	0.0125057572113372	0.0115924879971438
positive regulation of peptidyl-tyrosine phosphorylation	GOTERM_BP_DIRECT	8	2.702702702702702	0.0006203338058672273	PRNP, TGFB1, SYK, RIPK2, TREM2, MIF, PAK2, CD44	294	96	19462	5.516439909297052	0.8349303589406507	0.0125057572113372	0.0115924879971438
negative regulation of cell death	GOTERM_BP_DIRECT	7	2.364864864864865	0.0006975594524288488	CHMP4B, HTRA2, TXNDC12, HSPA1B, NCK1, CHMP5, HSPA1A	294	71	19462	6.5264922870556665	0.8681013828288006	0.0138699663726092	0.0128570718252467
cellular response to xenobiotic stimulus	GOTERM_BP_DIRECT	7	2.364864864864865	0.0006975594524288488	RB1, PRNP, TFRC, CHEK2, IL1B, E2F1, NKX3-1	294	71	19462	6.5264922870556665	0.8681013828288006	0.0138699663726092	0.0128570718252467
protein targeting to lysosome	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0007748832631916864	AP4M1, HGS, NEDD4, M6PR, RAB7A	294	28	19462	11.8209426627794	0.8946385129974816	0.0151992304935504	0.0140892625760055
leukocyte migration	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0007748832631916864	LYN, LCK, MYH9, MMP9, ICAM1	294	28	19462	11.8209426627794	0.8946385129974816	0.0151992304935504	0.0140892625760055
cellular response to organic cyclic compound	GOTERM_BP_DIRECT	6	2.027027027027027	0.0008289972968130466	CEBPB, TGFB1, CASP8, STAT1, IL1B, PAK2	294	49	19462	8.105789254477301	0.9099668396423292	0.0161515379372367	0.0149720250048584
receptor catabolic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.0008636876851028047	TGFB1, CDK5, NEDD4, CAPN1	294	13	19462	20.36839351125065	0.918599082084929	0.0167071582305297	0.0154870695137291
positive regulation of protein binding	GOTERM_BP_DIRECT	7	2.364864864864865	0.000869025453947639	RALB, CDK5, RIPK2, TRIB3, STK4, TRIM21, STK3	294	74	19462	6.261904761904762	0.9198517880283984	0.0167071582305297	0.0154870695137291
endosome to lysosome transport	GOTERM_BP_DIRECT	6	2.027027027027027	0.0009099134848400558	SNAPIN, VAMP7, M6PR, LIPA, CHMP5, RAB7A	294	50	19462	7.943673469387755	0.92882981758581	0.0172645676241221	0.0160037724686574
positive regulation of protein secretion	GOTERM_BP_DIRECT	6	2.027027027027027	0.0009099134848400558	IL1A, TGFB2, TGFB1, TREM2, DNM1L, PPIA	294	50	19462	7.943673469387755	0.92882981758581	0.0172645676241221	0.0160037724686574
protein catabolic process	GOTERM_BP_DIRECT	7	2.364864864864865	0.0009328496181688212	CHEK2, CASP3, SIAH1, PPT1, HTRA2, TPP1, TRAF2	294	75	19462	6.178412698412698	0.9334183546741832	0.0175848210489875	0.0163006384577421
cellular response to hypoxia	GOTERM_BP_DIRECT	9	3.040540540540541	0.0009725139663118116	TGFB1, UBQLN1, E2F1, PMAIP1, TREM2, PTGS2, HIF1A, NKX3-1, BBC3	294	134	19462	4.446085897045386	0.9406665315152016	0.0182142454464721	0.0168840973119037
receptor internalization	GOTERM_BP_DIRECT	6	2.027027027027027	0.0009965609854674805	RALB, SYK, TFRC, HGS, NEDD4, ACKR3	294	51	19462	7.787915166066425	0.9446710518620708	0.0185449778257185	0.017190676999314
positive regulation of protein targeting to membrane	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0010129343918394	PRNP, CDK5, CIB1, HRAS, CDK5R1	294	30	19462	11.032879818594106	0.947241946080962	0.0187296085319112	0.0173618245123572
hepatocyte apoptotic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.0010870409791195	RB1, STK4, BID, STK3	294	14	19462	18.913508260447035	0.9574636546196488	0.0199726579897722	0.0185140966760168
cellular response to insulin stimulus	GOTERM_BP_DIRECT	8	2.702702702702702	0.0011168560574991	RB1, GSK3A, PARP1, STAT1, PRKDC, TRIB3, RAB8A, YWHAG	294	106	19462	4.996021049929405	0.960994204369934	0.0203914033642775	0.0189022619542786
positive regulation of pri-miRNA transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	6	2.027027027027027	0.0011880445023149	SREBF1, TGFB2, TGFB1, SMAD3, STAT3, HIF1A	294	53	19462	7.494031574894108	0.9682843025704252	0.0215555824388762	0.0199814234733089
positive regulation of interferon-gamma production	GOTERM_BP_DIRECT	7	2.364864864864865	0.0012249235911746	PYCARD, RIPK2, IL1B, BCL3, CD14, FADD, HRAS	294	79	19462	5.865581675708258	0.9715080261533028	0.0220866657464605	0.0204737228810628
cellular response to tumor necrosis factor	GOTERM_BP_DIRECT	9	3.040540540540541	0.0012900550085598	PYCARD, NFKBIA, CTSK, ZC3H12A, RPS3, CIB1, BRCA1, YBX3, NKX3-1	294	140	19462	4.255539358600584	0.9764221464530806	0.0231174672212918	0.0214292470866332
regulation of transforming growth factor beta2 production	GOTERM_BP_DIRECT	3	1.0135135135135136	0.001328470387307	TGFB2, SMAD3, HIF1A	294	4	19462	49.64795918367346	0.9789133145976552	0.0234991586737564	0.0217830644130481
negative regulation of DNA damage response, signal transduction by p53 class mediator	GOTERM_BP_DIRECT	4	1.351351351351351	0.0013437341852716	PSMD10, KDM1A, MIF, CD44	294	15	19462	17.652607709750566	0.97982847958291	0.0234991586737564	0.0217830644130481
positive regulation of tumor necrosis factor-mediated signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.0013437341852716	CASP1, TRAF2, HSPA1B, HSPA1A	294	15	19462	17.652607709750566	0.97982847958291	0.0234991586737564	0.0217830644130481
negative regulation of vascular endothelial growth factor receptor signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.0013437341852716	PTPN1, HGS, PDCD6, NEDD4	294	15	19462	17.652607709750566	0.97982847958291	0.0234991586737564	0.0217830644130481
erythrocyte differentiation	GOTERM_BP_DIRECT	6	2.027027027027027	0.0014054636211954	LYN, CASP3, DNASE2, INHBA, SLC1A5, PTPN2	294	55	19462	7.22152133580705	0.983142013702562	0.0244315023492833	0.0226473209858496
regulation of cell proliferation	GOTERM_BP_DIRECT	10	3.3783783783783785	0.001430253149946	NFKBIA, SQLE, TGFB2, TGFB1, STAT1, STAT2, STAT3, CIB1, BID, HRAS	294	176	19462	3.761209029066172	0.984314161057448	0.0247144338946032	0.022909590633957
type I interferon signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	0.0015245394820437	TBK1, STAT1, STAT2, IRF1, IKBKE, TRIM65	294	56	19462	7.092565597667639	0.988074963189083	0.0261877995051649	0.0242753594448498
positive regulation of cell proliferation	GOTERM_BP_DIRECT	19	6.418918918918918	0.0016180569877629	LYN, TGFB2, TGFB1, CSF2, HDAC1, RTKN2, MAZ, CIB1, MIF, CAPNS1, PDCD10, IL1B, BLOC1S2, S100A13, RAC2, ITGAV, CAPN1, HRAS, NKX3-1	294	545	19462	2.307795044623354	0.9909140291883096	0.0274381620759422	0.0254344106601311
response to ethanol	GOTERM_BP_DIRECT	8	2.702702702702702	0.0016194308572603	POLB, SREBF1, G6PD, CASP8, CTSK, CD14, BAK1, EIF4G1	294	113	19462	4.686533020287761	0.990950253510058	0.0274381620759422	0.0254344106601311
negative regulation of innate immune response	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0016351367685628	PARP1, PRKDC, TNFAIP3, TRIM21, YWHAZ	294	34	19462	9.734893957583036	0.99135424742193	0.0274381620759422	0.0254344106601311
cellular response to nutrient levels	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0016351367685628	RRAGC, RHEB, LAMTOR1, CD68, EIF4G1	294	34	19462	9.734893957583036	0.99135424742193	0.0274381620759422	0.0254344106601311
